Taxi Affiliation Services,3.25,27.0
"Taxicab Insurance Agency, LLC",41.5,48.02
Globe Taxi,45.75,25.0
Top Cab Affiliation,11.25,25.0
Taxi Affiliation Services,7.75,70.0
Taxi Affiliation Services,41.75,30.0
"Taxicab Insurance Agency, LLC",74.5,40.0
Taxi Affiliation Services,5.5,50.0
24 Seven Taxi,120.0,30.25
Flash Cab,9.5,30.0
Flash Cab,33.0,35.0
"Taxicab Insurance Agency, LLC",3.25,25.0
Flash Cab,79.25,21.19
Taxi Affiliation Services,29.5,33.0
Taxi Affiliation Services,40.0,25.0
Sun Taxi,3.75,70.0
Patriot Taxi Dba Peace Taxi Associat,140.0,36.5
Taxi Affiliation Services,35.75,25.0
Taxi Affiliation Services,72.0,20.1
Flash Cab,72.25,20.56
"Taxicab Insurance Agency, LLC",74.25,20.65
Flash Cab,84.5,21.25
City Service,4.0,35.0
Taxi Affiliation Services,14.0,100.0
U Taxicab,11.25,30.0
Globe Taxi,53.25,30.0
Sun Taxi,59.0,30.0
Top Cab Affiliation,73.5,23.6
Sun Taxi,85.25,22.44
Flash Cab,145.75,38.31
Flash Cab,76.75,20.56
Top Cab Affiliation,100.5,22.6
Taxi Affiliation Services,16.75,25.0
Taxi Affiliation Services,3.25,45.0
Taxi Affiliation Services,3.5,44.0
Sun Taxi,68.5,21.8
"Taxicab Insurance Agency, LLC",62.0,22.0
Taxi Affiliation Services,94.75,29.75
Sun Taxi,65.5,33.1
Sun Taxi,65.0,25.88
Chicago Independents,79.5,25.6
Taxi Affiliation Services,57.25,23.3
Sun Taxi,74.75,30.56
City Service,53.5,22.88
City Service,87.75,32.06
Setare Inc,34.0,25.0
Taxi Affiliation Services,19.25,26.5
Flash Cab,44.25,44.25
Globe Taxi,64.0,21.3
Flash Cab,64.5,20.6
Sun Taxi,150.0,30.2
Taxi Affiliation Services,3.25,37.15
Taxi Affiliation Services,99.75,20.05
Sun Taxi,72.5,24.62
Flash Cab,94.5,48.0
Flash Cab,32.75,26.5
City Service,74.5,34.8
Top Cab Affiliation,67.5,33.5
Taxi Affiliation Services,63.75,20.45
Top Cab Affiliation,69.25,25.0
Sun Taxi,68.75,21.55
U Taxicab,44.25,40.0
Sun Taxi,65.75,21.15
Sun Taxi,73.0,22.9
City Service,64.75,21.08
Flash Cab,100.25,41.44
Chicago Taxicab,69.25,22.25
Flash Cab,76.25,24.35
Globe Taxi,168.0,33.7
Top Cab Affiliation,112.5,33.35
24 Seven Taxi,101.25,41.19
Sun Taxi,42.5,25.0
Medallion Leasin,91.0,21.3
Sun Taxi,106.0,21.4
Sun Taxi,275.5,50.0
Flash Cab,63.75,20.65
Flash Cab,98.0,22.8
Flash Cab,47.5,30.0
Sun Taxi,5.75,21.69
"Taxicab Insurance Agency, LLC",73.25,23.55
Choice Taxi Association,3.75,25.0
Flash Cab,89.75,21.11
City Service,69.0,23.6
Taxi Affiliation Services,3.25,26.0
Taxi Affiliation Services,85.25,27.25
Globe Taxi,64.5,21.3
Sun Taxi,75.25,29.56
Flash Cab,36.25,30.0
Taxicab Insurance Agency Llc,60.5,24.88
Chicago Independents,73.0,36.45
Flash Cab,110.0,26.32
Globe Taxi,63.0,20.4
"Taxicab Insurance Agency, LLC",102.75,28.05
Blue Ribbon Taxi Association,83.5,41.75
Chicago Independents,78.25,23.45
Taxi Affiliation Services,92.25,28.35
Taxi Affiliation Services,100.5,31.0
Taxi Affiliation Services,84.75,27.15
Globe Taxi,59.0,22.25
Taxi Affiliation Services,79.75,30.0
Globe Taxi,71.75,21.94
City Service,79.5,22.4
Taxi Affiliation Services,88.25,26.85
Flash Cab,67.0,22.12
Top Cab Affiliation,71.75,21.75
Chicago Independents,118.75,30.0
Medallion Leasin,72.0,23.9
Taxi Affiliation Services,82.25,20.55
"Taxicab Insurance Agency, LLC",73.25,23.15
Star North Taxi Management Llc,111.75,26.29
Medallion Leasin,71.75,22.85
Taxi Affiliation Services,68.0,22.7
Sun Taxi,83.25,25.95
"Taxicab Insurance Agency, LLC",112.25,36.55
City Service,76.25,25.35
Taxi Affiliation Services,59.0,22.1
Chicago Independents,131.75,33.17
Top Cab Affiliation,66.75,30.5
Taxi Affiliation Services,71.25,22.65
City Service,66.0,22.4
Taxi Affiliation Services,45.75,22.25
Taxi Affiliation Services,42.75,20.6
City Service,62.25,24.94
Sun Taxi,63.5,25.38
Taxi Affiliation Services,52.0,20.8
Top Cab Affiliation,69.75,22.2
City Service,75.5,22.1
City Service,65.25,20.45
"Taxicab Insurance Agency, LLC",63.5,20.2
Blue Ribbon Taxi Association,95.5,38.25
Sun Taxi,53.25,22.06
City Service,40.75,30.0
City Service,71.75,21.05
U Taxicab,69.25,21.75
Globe Taxi,76.5,24.4
Taxi Affiliation Services,70.0,22.3
Medallion Leasin,63.0,20.7
Blue Ribbon Taxi Association,50.0,28.0
Medallion Leasin,83.75,20.14
Medallion Leasin,45.25,20.19
City Service,150.0,30.2
City Service,55.25,21.31
City Service,56.5,22.25
Chicago Independents,65.5,21.2
24 Seven Taxi,92.0,29.6
Chicago Independents,68.75,21.85
Blue Ribbon Taxi Association,40.5,30.0
Taxi Affiliation Services,70.75,22.85
Medallion Leasin,76.0,23.6
Taxi Affiliation Services,70.5,23.3
City Service,67.0,21.9
Globe Taxi,160.5,50.3
Taxi Affiliation Services,64.5,22.05
Chicago Independents,86.25,25.45
Taxi Affiliation Services,61.75,30.0
City Service,72.0,23.5
Taxi Affiliation Services,63.0,20.05
312 Medallion Management Corp,47.25,23.9
Sun Taxi,72.5,23.0
Taxi Affiliation Services,57.25,20.71
"Taxicab Insurance Agency, LLC",73.0,23.6
Medallion Leasin,26.5,30.0
"Taxicab Insurance Agency, LLC",101.5,31.8
"Taxicab Insurance Agency, LLC",70.0,27.75
Taxi Affiliation Services,73.5,22.9
Chicago Independents,64.25,25.69
Flash Cab,78.0,21.62
City Service,68.5,22.2
Chicago Independents,95.25,36.31
"Taxicab Insurance Agency, LLC",60.75,29.45
Chicago Independents,64.0,20.3
Flash Cab,82.75,25.85
Top Cab Affiliation,72.25,28.15
City Service,70.5,27.75
Top Cab Affiliation,51.75,28.0
Flash Cab,76.25,24.35
"Taxicab Insurance Agency, LLC",65.0,28.6
Top Cab Affiliation,72.0,25.0
City Service,71.75,23.35
Top Cab Affiliation,78.0,25.1
"Taxicab Insurance Agency, LLC",62.75,21.0
Globe Taxi,51.75,21.19
"Taxicab Insurance Agency, LLC",64.75,26.55
"Taxicab Insurance Agency, LLC",77.0,24.8
Top Cab Affiliation,69.75,21.85
Taxi Affiliation Services,42.5,30.0
24 Seven Taxi,65.25,20.95
Sun Taxi,61.75,25.19
Sun Taxi,62.5,20.2
City Service,80.0,25.3
Sun Taxi,81.5,25.8
24 Seven Taxi,97.25,23.74
Flash Cab,66.75,21.35
Sun Taxi,77.75,26.65
Taxi Affiliation Services,10.75,25.0
Taxi Affiliation Services,14.0,30.0
Chicago Independents,102.25,33.55
Globe Taxi,40.5,53.0
Globe Taxi,49.25,24.24
Taxi Affiliation Services,48.0,28.0
Taxi Affiliation Services,16.25,25.0
Medallion Leasin,85.25,23.14
Sun Taxi,49.5,60.0
Choice Taxi Association,8.5,28.0
"Taxicab Insurance Agency, LLC",83.0,32.1
Flash Cab,33.25,30.0
Globe Taxi,79.25,21.44
City Service,71.25,29.31
Taxi Affiliation Services,76.25,20.15
Flash Cab,61.25,22.0
Taxi Affiliation Services,3.25,27.0
Taxi Affiliation Services,14.5,25.0
Flash Cab,48.0,30.0
Taxicab Insurance Agency Llc,55.75,25.0
