Sun Taxi,120.0,24.2
Taxi Affiliation Services,133.0,25.0
Sun Taxi,85.0,21.38
Taxi Affiliation Services,3.25,48.15
Sun Taxi,75.0,22.65
Taxi Affiliation Services,68.75,20.75
Choice Taxi Association,51.25,35.0
Flash Cab,49.5,25.0
Taxi Affiliation Services,39.25,60.0
Sun Taxi,63.25,20.65
Flash Cab,48.5,45.0
Flash Cab,126.0,26.1
Top Cab Affiliation,93.25,29.75
Flash Cab,146.0,25.0
Medallion Leasin,84.0,24.1
Chicago Independents,119.5,26.4
Sun Taxi,62.25,20.05
Flash Cab,93.25,32.56
Blue Ribbon Taxi Association,79.75,24.85
Sun Taxi,199.5,60.0
City Service,73.25,24.85
Globe Taxi,157.0,31.5
"Taxicab Insurance Agency, LLC",64.5,32.5
City Service,100.75,25.0
Sun Taxi,74.75,23.25
Petani Cab Corp,74.5,25.0
Sun Taxi,42.0,21.0
Flash Cab,93.0,31.0
Medallion Leasin,81.0,27.0
U Taxicab,107.25,34.35
Taxi Affiliation Services,61.5,25.0
Globe Taxi,62.25,21.35
"Taxicab Insurance Agency, LLC",56.75,20.65
U Taxicab,9.25,40.0
Medallion Leasin,51.0,40.0
Medallion Leasin,50.5,25.0
Globe Taxi,45.75,40.0
Flash Cab,39.5,25.0
U Taxicab,46.75,24.0
Taxi Affiliation Services,24.0,30.0
Sun Taxi,47.0,30.0
Blue Ribbon Taxi Association,85.0,21.38
Sun Taxi,104.75,22.85
Flash Cab,101.0,31.7
Sun Taxi,72.0,27.0
Chicago Taxicab,77.25,23.95
Sun Taxi,61.0,26.88
Star North Taxi Management Llc,100.0,25.12
Medallion Leasin,53.75,21.56
Chicago Independents,74.75,20.81
Flash Cab,48.0,20.88
Chicago Independents,52.0,25.35
City Service,89.0,27.9
Sun Taxi,64.25,20.85
Sun Taxi,107.75,32.25
Medallion Leasin,3.75,20.75
Flash Cab,58.25,41.12
Flash Cab,64.0,25.0
Taxi Affiliation Services,3.25,20.4
Sun Taxi,45.75,20.06
Taxi Affiliation Services,3.25,20.4
Sun Taxi,109.5,44.62
Taxi Affiliation Services,3.25,147.0
Flash Cab,66.25,30.0
Flash Cab,40.5,38.7
Sun Taxi,96.75,25.0
5 Star Taxi,71.0,22.3
Taxicab Insurance Agency Llc,80.5,26.8
City Service,66.5,21.5
Globe Taxi,92.0,28.6
Sun Taxi,63.5,21.1
Taxicab Insurance Agency Llc,50.25,20.56
Sun Taxi,80.5,24.3
Taxicab Insurance Agency Llc,81.0,20.1
Sun Taxi,61.5,26.38
Flash Cab,80.5,31.75
"Taxicab Insurance Agency, LLC",74.25,23.15
Flash Cab,63.25,20.15
Chicago Independents,70.0,21.15
Sun Taxi,81.25,25.95
City Service,44.75,21.94
Chicago Independents,96.0,30.7
Sun Taxi,53.5,21.62
Sun Taxi,49.75,25.0
Flash Cab,160.0,40.12
Chicago Independents,52.0,25.0
Flash Cab,51.25,20.31
Sun Taxi,61.25,25.31
Sun Taxi,67.75,27.19
Sun Taxi,93.0,28.9
Taxi Affiliation Services,115.63,23.2
Taxi Affiliation Services,132.0,26.5
Taxicab Insurance Agency Llc,42.0,25.0
City Service,74.25,35.92
City Service,103.0,38.62
City Service,82.75,34.19
Sun Taxi,79.5,29.12
Flash Cab,93.25,22.16
Flash Cab,94.75,30.05
City Service,71.25,23.45
Flash Cab,120.63,25.03
Flash Cab,61.25,20.45
Sun Taxi,78.0,24.9
Sun Taxi,67.5,22.5
Sun Taxi,90.0,30.15
City Service,64.75,25.19
Taxi Affiliation Services,38.5,25.0
Sun Taxi,76.0,20.8
Globe Taxi,82.0,26.2
Taxi Affiliation Services,71.5,40.0
"Taxicab Insurance Agency, LLC",69.75,22.45
Sun Taxi,133.0,40.9
Sun Taxi,63.25,20.25
Globe Taxi,69.25,32.62
Star North Taxi Management Llc,96.25,25.19
U Taxicab,83.25,26.65
Sun Taxi,68.25,21.85
Sun Taxi,88.5,27.6
Medallion Leasin,72.25,22.75
Flash Cab,86.75,35.44
Chicago Independents,62.0,24.85
Sun Taxi,110.25,50.0
Globe Taxi,67.5,21.3
Sun Taxi,75.0,32.0
Chicago Independents,52.5,22.75
Taxi Affiliation Services,48.5,23.8
5 Star Taxi,70.0,22.9
Taxi Affiliation Services,68.0,21.9
Flash Cab,93.0,21.6
Sun Taxi,50.75,20.56
Flash Cab,88.5,20.92
Medallion Leasin,62.25,20.55
"Taxicab Insurance Agency, LLC",70.25,22.35
Sun Taxi,62.25,20.35
Taxi Affiliation Services,68.5,27.5
Sun Taxi,231.5,66.5
KOAM Taxi Association,53.75,26.15
Taxi Affiliation Services,80.5,25.8
Choice Taxi Association,87.25,28.15
Sun Taxi,70.75,28.19
Taxi Affiliation Services,70.25,21.55
